t1
0,777745
0,776913
0,768898
0,765465
0,767024
0,763686
0,768084
0,763426
0,77134
0,768402
t2
0,76138
0,761832
0,764984
0,763116
0,760101
0,770245
0,948346
1,08049
1,06956
1,0728
t3
1,19829
1,15929
1,15042
1,1544
1,15678
1,1551
1,14146
1,15792
1,1404
1,14507
t4
1,22224
1,22238
1,21805
1,20768
1,21158
1,20693
1,21783
1,20561
1,21258
1,21214
t5
1,29913
1,2552
1,27059
1,27146
1,26708
1,27864
1,27713
1,26745
1,28302
1,2834
t6
1,47876
1,43354
1,44466
1,42867
1,44036
1,4485
1,46353
1,43532
1,43249
1,41831
t7
1,90646
1,89166
1,87472
1,87289
1,87805
1,86979
1,88875
1,88331
1,86132
1,88115
t8
2,5274
2,48446
2,49975
2,52314
2,52616
2,49736
2,5473
2,50091
2,50008
2,527
t9
2,76064
2,83425
2,74013
2,76616
2,78692
2,77107
2,80724
2,78732
2,78738
2,74177
t10
2,82549
2,77439
2,75822
2,77097
2,75391
2,80471
2,79244
2,76352
2,77636
2,77834
